epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5498,3.2897,5.33628,0.68283,7.15357,0.0201,20.9597,0,0,0,0,0,0,0,0,3.29574,5.53545,0.67406,7.11748,0.02692,0,4e-05,4e-05,4e-05
2,15.1946,3.04964,5.43929,0.66824,7.53319,0.01894,21.345,0,0,0,0,0.00481,0.05556,0.00265,0.00026,3.3198,5.42735,0.67388,7.30489,0.02844,0,9.901e-05,9.901e-05,9.901e-05
3,15.8969,3.13815,5.56588,0.67615,7.31427,0.01873,22.2128,0.00976,0.11111,0.00551,0.00055,0.00488,0.05556,0.00298,0.0003,3.41813,5.47272,0.67339,7.04097,0.03011,0,0.000156832,0.000156832,0.000156832
4,16.5929,3.10603,5.11057,0.68376,6.4952,0.01916,20.4301,0,0,0,0,0.00474,0.05556,0.0026,0.00026,3.54117,5.29529,0.67247,5.50306,0.02839,0,0.000213466,0.000213466,0.000213466
5,17.3598,2.9609,5.49418,0.69026,5.14245,0.01828,20.7846,0.00683,0.16667,0.00614,0.00103,0.00228,0.05556,0.00129,0.00013,2.9861,5.32424,0.67354,4.45542,0.02663,0,0.000268912,0.000268912,0.000268912
6,18.2674,2.55913,4.84214,0.6938,4.05143,0.01494,17.5691,0.09066,0.05556,0.0656,0.01263,0.00199,0.16667,0.0014,0.00014,2.89346,5.59164,0.68037,3.05565,0.02481,0,0.00032317,0.00032317,0.00032317
7,19.0459,2.17575,4.9984,0.69501,3.47422,0.01137,16.5363,0.18646,0.11111,0.15896,0.03306,0.00246,0.27778,0.00175,0.00018,2.49542,5.23326,0.68139,3.16519,0.01745,0,0.00037624,0.00037624,0.00037624
8,19.829,2.0399,4.67862,0.68564,3.31659,0.01044,16.1862,0.15673,0.22222,0.17404,0.04768,0.00291,0.22222,0.00309,0.00031,2.44253,5.07617,0.68525,3.04365,0.01618,0,0.000428122,0.000428122,0.000428122
9,20.6048,1.8986,4.54509,0.66793,2.95439,0.00961,14.7578,0.1137,0.33333,0.20304,0.09114,0.00585,0.05556,0.00313,0.00035,1.92472,5.07421,0.68153,3.23963,0.01334,0,0.000478816,0.000478816,0.000478816
10,21.3835,1.94935,4.28859,0.65013,2.92459,0.0109,13.3851,0.14421,0.22222,0.12819,0.05563,0.0153,0.11111,0.00914,0.00099,1.97945,4.89487,0.68159,2.90353,0.01426,0,0.000528322,0.000528322,0.000528322
11,22.1617,1.85068,4.02692,0.65643,2.86528,0.00918,12.2146,0.15928,0.5,0.15095,0.04933,0.01438,0.22222,0.00974,0.00109,1.83868,4.90453,0.67904,2.58776,0.01325,0,0.00057664,0.00057664,0.00057664
12,22.9489,1.80281,3.69926,0.65083,2.6258,0.00917,11.2254,0.16329,0.44444,0.15109,0.06288,0.04649,0.33333,0.03403,0.00367,1.75819,4.69287,0.67509,2.43168,0.01186,0,0.00062377,0.00062377,0.00062377
13,23.7407,1.79787,3.15476,0.65028,2.75372,0.00963,10.5144,0.17199,0.27778,0.17598,0.07584,0.03217,0.44444,0.0267,0.00298,1.45217,4.69278,0.68168,2.63774,0.01034,0,0.000669712,0.000669712,0.000669712
14,24.6397,1.66677,3.57184,0.63837,2.46963,0.0085,10.2243,0.16371,0.27778,0.13561,0.06127,0.02034,0.22222,0.01254,0.00168,1.85036,4.77753,0.65922,2.59755,0.0149,0,0.000714466,0.000714466,0.000714466
15,25.4111,1.75267,3.4365,0.67573,2.62016,0.00851,9.83111,0.30841,0.22222,0.24731,0.08611,0.04858,0.44444,0.03091,0.00457,1.76315,4.48486,0.65614,2.95826,0.01364,0,0.000758032,0.000758032,0.000758032
16,26.1771,1.80148,2.50033,0.66991,2.55082,0.00897,8.12601,0.16922,0.44444,0.15757,0.06215,0.10576,0.27778,0.11982,0.02157,1.91737,4.02625,0.65395,2.58156,0.01205,0,0.00080041,0.00080041,0.00080041
17,26.9236,1.71485,2.69652,0.6269,2.45215,0.00794,8.25856,0.32522,0.33333,0.2218,0.10105,0.1001,0.27778,0.0904,0.01722,1.72233,4.12758,0.65258,2.51205,0.01227,0,0.0008416,0.0008416,0.0008416
18,27.6774,1.65755,2.84187,0.59072,2.49722,0.00846,8.6608,0.36034,0.33333,0.29334,0.09255,0.18144,0.33333,0.18068,0.04354,2.04112,3.60166,0.6109,2.57582,0.01508,0,0.000881602,0.000881602,0.000881602
