epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5161,3.5192,4.49786,0.00866,0,0,0,0,5.17728,4.96007,0.01942,4e-05,4e-05,4e-05
2,17.0809,3.31955,4.55049,0.00865,0,0,0,0,4.68296,4.70311,0.01617,9.901e-05,9.901e-05,9.901e-05
3,17.6955,2.75734,4.22616,0.00563,0,0,0,0,2.02025,4.01831,0.00546,0.000156832,0.000156832,0.000156832
4,18.3883,2.02952,3.84081,0.00346,0,0,0,0,1.65951,3.814,0.00413,0.000213466,0.000213466,0.000213466
5,19.0782,1.76717,3.56604,0.00297,0,0,0,0,1.59008,3.76357,0.0038,0.000268912,0.000268912,0.000268912
6,19.7204,1.74579,3.17647,0.00282,0,0,0,0,1.49937,3.66839,0.00362,0.00032317,0.00032317,0.00032317
7,20.3959,1.61826,2.75519,0.00248,0.00033,0.00712,0.00021,4e-05,1.38721,3.5402,0.00329,0.00037624,0.00037624,0.00037624
8,21.0467,1.60891,2.45405,0.00248,0.00017,0.00356,9e-05,3e-05,1.3709,3.4666,0.00325,0.000428122,0.000428122,0.000428122
9,21.7236,1.62538,2.17903,0.00226,0,0,0,0,1.29061,3.28498,0.00292,0.000478816,0.000478816,0.000478816
10,22.3526,1.55371,1.96137,0.0023,0.00017,0.00356,8e-05,6e-05,1.31722,3.15591,0.0031,0.000528322,0.000528322,0.000528322
11,22.994,1.48955,1.80908,0.00211,0.0045,0.09609,0.03747,0.02104,1.29889,3.05191,0.00317,0.00057664,0.00057664,0.00057664
12,23.6421,1.44802,1.7506,0.0021,0.0115,0.24555,0.11924,0.05145,1.35658,2.94541,0.00356,0.00062377,0.00062377,0.00062377
13,24.309,1.38653,1.81866,0.00208,0.03267,0.69751,0.40538,0.25424,1.24692,2.75661,0.00326,0.000669712,0.000669712,0.000669712
14,24.9339,1.28513,1.62879,0.00199,0.041,0.87544,0.50127,0.27891,1.31291,2.70835,0.00364,0.000714466,0.000714466,0.000714466
15,25.6021,1.30478,1.5792,0.00193,0.04017,0.85765,0.55964,0.31894,1.30485,2.73404,0.00352,0.000758032,0.000758032,0.000758032
16,26.2563,1.25153,1.47691,0.00172,0.04133,0.88256,0.54843,0.30705,1.26502,2.75498,0.00333,0.00080041,0.00080041,0.00080041
17,26.8667,1.26776,1.38501,0.00173,0.04283,0.91459,0.6264,0.33823,1.35404,2.71481,0.00351,0.0008416,0.0008416,0.0008416
18,27.4829,1.22271,1.41078,0.00177,0.04333,0.92527,0.65409,0.38909,1.2524,2.61028,0.00335,0.000881602,0.000881602,0.000881602
19,28.1588,1.2448,1.45186,0.00186,0.04333,0.92527,0.64355,0.40746,1.19249,2.56703,0.00298,0.000920416,0.000920416,0.000920416
20,28.7841,1.23511,1.32778,0.00171,0.043,0.91815,0.60745,0.3839,1.19951,2.52716,0.00258,0.000958042,0.000958042,0.000958042
21,29.4549,1.26099,1.25502,0.00172,0.043,0.91815,0.62801,0.41084,1.15063,2.4957,0.0026,0.00099448,0.00099448,0.00099448
22,30.1378,1.23522,1.30705,0.0018,0.0435,0.92883,0.6802,0.43189,1.23099,2.46877,0.00288,0.00102973,0.00102973,0.00102973
23,30.7646,1.25509,1.21382,0.00168,0.04333,0.92527,0.67457,0.41585,1.25895,2.48463,0.00266,0.00106379,0.00106379,0.00106379
24,31.397,1.18616,1.27288,0.0019,0.044,0.9395,0.6953,0.42843,1.25699,2.43715,0.00304,0.00109667,0.00109667,0.00109667
25,32.0084,1.24942,1.18928,0.00182,0.04433,0.94662,0.708,0.43971,1.25321,2.36089,0.003,0.00112835,0.00112835,0.00112835
26,32.6367,1.17394,1.17327,0.00176,0.38727,0.91815,0.7435,0.48146,1.15944,2.22545,0.00242,0.00115885,0.00115885,0.00115885
27,33.2603,1.22794,1.0889,0.00166,0.63179,0.76868,0.75456,0.46563,1.28855,2.15003,0.00252,0.00118816,0.00118816,0.00118816
28,33.9338,1.27132,1.0979,0.00175,0.8905,0.34729,0.76448,0.48322,1.2668,2.04221,0.00286,0.00121628,0.00121628,0.00121628
29,34.57,1.1902,1.14662,0.00185,0.92502,0.30735,0.77416,0.50545,1.19451,2.04896,0.00272,0.00124322,0.00124322,0.00124322
30,35.1789,1.24669,1.05936,0.00183,0.7591,0.62989,0.75831,0.51655,1.12542,2.23086,0.00237,0.00126896,0.00126896,0.00126896
31,35.8252,1.23993,0.98359,0.00174,0.77734,0.50938,0.75634,0.51154,1.17374,2.21079,0.0026,0.00129352,0.00129352,0.00129352
32,36.4236,1.23723,1.02527,0.00197,0.83255,0.6016,0.80181,0.52248,1.23029,1.83609,0.00303,0.00131689,0.00131689,0.00131689
33,37.0332,1.2077,1.01723,0.00178,0.7785,0.73795,0.80992,0.53906,1.17287,1.70442,0.0024,0.00133907,0.00133907,0.00133907
34,37.6775,1.21217,0.97184,0.00173,0.80148,0.64656,0.8024,0.53491,1.20648,1.69262,0.00246,0.0013466,0.0013466,0.0013466
35,38.2626,1.1261,0.96044,0.00165,0.83094,0.61219,0.81279,0.53486,1.25095,1.70315,0.00295,0.0013268,0.0013268,0.0013268
36,38.9048,1.2212,0.94481,0.00177,0.83246,0.70819,0.84609,0.55266,1.22844,1.63495,0.00289,0.001307,0.001307,0.001307
37,39.5856,1.20864,0.9143,0.00172,0.78481,0.76512,0.83957,0.56692,1.18848,1.45744,0.00252,0.0012872,0.0012872,0.0012872
38,40.2239,1.1453,0.90926,0.00173,0.79858,0.79015,0.85539,0.59015,1.18489,1.24962,0.00258,0.0012674,0.0012674,0.0012674
39,40.8363,1.13767,0.91416,0.00168,0.78852,0.78289,0.85349,0.60267,1.128,1.25048,0.00232,0.0012476,0.0012476,0.0012476
40,41.4592,1.18414,0.88644,0.00168,0.81229,0.7758,0.86474,0.58087,1.22599,1.25721,0.00257,0.0012278,0.0012278,0.0012278
41,42.0738,1.19844,0.81287,0.00158,0.83682,0.79715,0.87425,0.59042,1.20589,1.2136,0.0024,0.001208,0.001208,0.001208
42,42.7224,1.22464,0.85845,0.00182,0.79903,0.80648,0.87769,0.59731,1.17632,0.9716,0.00236,0.0011882,0.0011882,0.0011882
43,43.3253,1.19408,0.84673,0.00177,0.79554,0.81851,0.88206,0.61614,1.1293,0.9238,0.00228,0.0011684,0.0011684,0.0011684
