epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0225,2.48314,5.13654,0.00692,0,0,0,0,1.9508,4.67794,0.00712,0.00012,0.00012,0.00012
2,28.5689,1.72238,3.09134,0.00478,0.63187,0.40255,0.46147,0.17619,2.13149,2.19944,0.00542,0.000259142,0.000259142,0.000259142
3,32.1103,1.3908,1.76903,0.00353,0.57969,0.58288,0.58225,0.19493,1.96624,2.04001,0.00451,0.00039736,0.00039736,0.00039736
4,35.6173,1.40793,1.56949,0.0037,0.59127,0.57442,0.60775,0.20887,2.12319,1.73616,0.00476,0.000534654,0.000534654,0.000534654
5,39.1423,1.26977,1.36419,0.00343,0.61019,0.54459,0.56212,0.19658,2.16145,1.68874,0.00477,0.000671024,0.000671024,0.000671024
6,42.6478,1.36227,1.18977,0.00351,0.70669,0.66667,0.67704,0.30596,1.94351,1.62741,0.00516,0.00080647,0.00080647,0.00080647
7,46.1915,1.30559,1.11401,0.00322,0.59367,0.6357,0.62844,0.30562,1.77474,1.58779,0.00461,0.000940992,0.000940992,0.000940992
8,49.6312,1.33239,0.98921,0.00303,0.6345,0.64117,0.64556,0.33315,1.69379,1.44969,0.00449,0.00107459,0.00107459,0.00107459
9,53.1755,1.21879,0.94748,0.0032,0.62272,0.62659,0.65329,0.25619,2.18196,1.36683,0.0055,0.00120726,0.00120726,0.00120726
10,56.6685,1.25059,0.79775,0.00306,0.57358,0.72033,0.70291,0.29656,2.04548,1.37749,0.00488,0.00133901,0.00133901,0.00133901
11,60.1361,1.25894,0.88768,0.00336,0.69636,0.76445,0.73965,0.34106,1.87301,1.20431,0.00484,0.00146984,0.00146984,0.00146984
12,63.6628,1.25971,0.8623,0.00311,0.69363,0.73588,0.74893,0.30281,2.12711,1.31274,0.00527,0.00159974,0.00159974,0.00159974
13,67.1316,1.24176,0.81818,0.00296,0.74592,0.69516,0.75449,0.31843,2.07124,1.16788,0.00534,0.00172872,0.00172872,0.00172872
14,70.6278,1.2072,0.81565,0.00303,0.74225,0.76685,0.76434,0.3701,1.81771,1.08536,0.00464,0.00185677,0.00185677,0.00185677
15,74.0989,1.27084,0.80255,0.00322,0.65907,0.64789,0.63878,0.2608,2.16966,1.15305,0.00577,0.0019076,0.0019076,0.0019076
16,77.5701,1.21102,0.74103,0.00294,0.70831,0.65018,0.67466,0.29431,2.20392,1.28815,0.00692,0.001901,0.001901,0.001901
