epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8419,2.48314,5.13654,0.00692,0,0,0,0,1.9508,4.67794,0.00712,0.00012,0.00012,0.00012
2,28.3864,1.72196,3.09115,0.00479,0.64299,0.38069,0.44727,0.14594,2.29372,2.3085,0.00627,0.000257426,0.000257426,0.000257426
3,31.9451,1.36601,1.784,0.00344,0.57334,0.51002,0.58015,0.18153,2.12158,2.00684,0.00487,0.00039208,0.00039208,0.00039208
4,35.4437,1.37355,1.57632,0.00357,0.46851,0.4827,0.50401,0.18158,2.15557,1.80122,0.00459,0.000523962,0.000523962,0.000523962
5,38.9297,1.26473,1.36256,0.00348,0.6395,0.54827,0.59633,0.21833,2.16995,1.59309,0.00482,0.000653072,0.000653072,0.000653072
6,42.434,1.33857,1.17944,0.00344,0.63152,0.62124,0.62179,0.29424,1.77439,1.49848,0.00392,0.00077941,0.00077941,0.00077941
7,45.9619,1.26824,1.05314,0.0031,0.63912,0.64117,0.6456,0.31045,1.74935,1.47571,0.00438,0.000902976,0.000902976,0.000902976
8,49.4087,1.33827,1.00067,0.00295,0.67887,0.70492,0.71626,0.33476,1.6785,1.31774,0.00431,0.00102377,0.00102377,0.00102377
9,52.9162,1.22868,0.9662,0.00319,0.68199,0.68852,0.73963,0.26939,2.06405,1.20363,0.00465,0.00114179,0.00114179,0.00114179
10,56.3728,1.21569,0.84326,0.00293,0.67944,0.81847,0.78641,0.33593,1.92328,1.13783,0.00423,0.00125704,0.00125704,0.00125704
11,59.8476,1.26683,0.87168,0.00338,0.69075,0.83242,0.80937,0.39265,1.68622,1.05475,0.00398,0.00136952,0.00136952,0.00136952
12,63.3542,1.24993,0.84249,0.003,0.73292,0.71478,0.76643,0.30928,2.14397,1.19573,0.00499,0.00147923,0.00147923,0.00147923
13,66.8063,1.22985,0.83907,0.00284,0.7187,0.70674,0.73984,0.2727,2.28484,1.1634,0.00579,0.00158616,0.00158616,0.00158616
14,70.2983,1.21657,0.77196,0.00312,0.75513,0.80146,0.8286,0.35455,1.87064,0.95528,0.0044,0.00169032,0.00169032,0.00169032
15,73.7619,1.27768,0.81753,0.00318,0.67565,0.83476,0.76368,0.32057,1.85777,1.20586,0.00384,0.0017228,0.0017228,0.0017228
16,77.2345,1.15754,0.7612,0.0028,0.70601,0.78689,0.76581,0.33379,1.91061,1.04045,0.00446,0.001703,0.001703,0.001703
17,80.6537,1.21337,0.72482,0.00322,0.68386,0.73953,0.77948,0.33761,2.00312,1.08267,0.00474,0.0016832,0.0016832,0.0016832
18,84.1134,1.24779,0.71741,0.00298,0.71067,0.80328,0.83093,0.38841,1.81609,1.01733,0.0044,0.0016634,0.0016634,0.0016634
19,87.5547,1.18682,0.76832,0.0035,0.74274,0.80692,0.82497,0.39856,1.72828,1.02214,0.00401,0.0016436,0.0016436,0.0016436
20,91.0601,1.10494,0.70946,0.00291,0.79454,0.81967,0.86947,0.37376,1.87,1.12465,0.00387,0.0016238,0.0016238,0.0016238
21,94.4918,1.18855,0.68313,0.00287,0.75651,0.81056,0.83176,0.30105,2.08276,1.28106,0.00425,0.001604,0.001604,0.001604
22,98.012,1.12545,0.68715,0.00279,0.68086,0.82696,0.74397,0.20488,2.44146,1.47986,0.00522,0.0015842,0.0015842,0.0015842
23,101.523,1.21469,0.66247,0.00294,0.78627,0.8306,0.85134,0.27668,2.19977,1.08641,0.0044,0.0015644,0.0015644,0.0015644
24,104.992,1.12902,0.6644,0.00281,0.74739,0.87067,0.83784,0.3478,1.90867,1.09477,0.00434,0.0015446,0.0015446,0.0015446
25,108.448,1.22773,0.70264,0.00323,0.7377,0.82992,0.81393,0.34347,1.82897,1.03895,0.00428,0.0015248,0.0015248,0.0015248
26,111.904,1.24689,0.66927,0.00304,0.71642,0.86972,0.83021,0.3364,1.91929,1.00361,0.0042,0.001505,0.001505,0.001505
27,115.351,1.17569,0.64092,0.00312,0.77062,0.78689,0.80673,0.38269,1.84095,1.03294,0.00433,0.0014852,0.0014852,0.0014852
28,118.841,1.24392,0.67521,0.00314,0.76386,0.81313,0.85105,0.36692,2.03684,1.01978,0.00434,0.0014654,0.0014654,0.0014654
29,122.234,1.17023,0.7032,0.00326,0.76877,0.86521,0.88034,0.36127,2.07778,0.92102,0.00406,0.0014456,0.0014456,0.0014456
30,125.695,1.17329,0.67762,0.00298,0.76203,0.83971,0.86726,0.33058,2.15824,0.95329,0.00486,0.0014258,0.0014258,0.0014258
31,129.154,1.13648,0.62389,0.00267,0.73015,0.82149,0.83957,0.35009,1.9467,1.01685,0.00492,0.001406,0.001406,0.001406
32,132.629,1.20306,0.63436,0.00265,0.81464,0.82453,0.88781,0.38287,1.97756,0.96187,0.00444,0.0013862,0.0013862,0.0013862
33,136.102,1.18902,0.61096,0.00302,0.78606,0.86339,0.89515,0.35802,2.19058,0.9042,0.00454,0.0013664,0.0013664,0.0013664
34,139.571,1.14987,0.61819,0.00271,0.81198,0.82149,0.88499,0.34463,2.21398,0.91614,0.00429,0.0013466,0.0013466,0.0013466
35,143.017,1.12994,0.61055,0.0026,0.84031,0.8051,0.89603,0.36901,2.14839,0.90974,0.00421,0.0013268,0.0013268,0.0013268
36,146.468,1.1269,0.60422,0.00273,0.83007,0.87198,0.92931,0.4951,1.69044,0.76779,0.00357,0.001307,0.001307,0.001307
37,149.911,1.14628,0.63099,0.00262,0.86378,0.83159,0.92512,0.45159,1.72157,0.78992,0.00401,0.0012872,0.0012872,0.0012872
38,153.36,1.10633,0.58937,0.00288,0.85529,0.86885,0.90988,0.39735,1.88505,0.83902,0.00402,0.0012674,0.0012674,0.0012674
39,156.822,1.10097,0.61817,0.0026,0.81322,0.88823,0.89576,0.36878,2.01513,0.86136,0.00378,0.0012476,0.0012476,0.0012476
40,160.303,1.10006,0.57699,0.00266,0.79269,0.8358,0.87932,0.40909,1.92401,0.83122,0.0037,0.0012278,0.0012278,0.0012278
41,163.738,1.07204,0.57492,0.00259,0.75916,0.83828,0.87451,0.43235,1.81911,0.84415,0.00356,0.001208,0.001208,0.001208
42,167.232,1.14579,0.59607,0.00263,0.80367,0.81967,0.88673,0.38726,1.80084,0.92775,0.00352,0.0011882,0.0011882,0.0011882
43,170.674,1.11902,0.59275,0.00283,0.78655,0.886,0.91286,0.42686,1.71888,0.84185,0.00352,0.0011684,0.0011684,0.0011684
44,174.162,1.07303,0.54943,0.0026,0.84077,0.86885,0.9209,0.48587,1.61898,0.7981,0.00341,0.0011486,0.0011486,0.0011486
45,177.619,1.10663,0.59053,0.0027,0.82701,0.87953,0.91969,0.43213,1.78243,0.85473,0.00384,0.0011288,0.0011288,0.0011288
46,181.095,1.11744,0.55076,0.0025,0.84555,0.8725,0.91862,0.45771,1.74035,0.78743,0.00381,0.001109,0.001109,0.001109
47,184.564,1.04585,0.53823,0.00259,0.81404,0.8725,0.89659,0.39414,1.91247,0.88882,0.00405,0.0010892,0.0010892,0.0010892
48,188.015,1.05489,0.56391,0.00268,0.82729,0.85064,0.8732,0.36799,1.93348,0.93215,0.00387,0.0010694,0.0010694,0.0010694
49,191.464,1.07244,0.54235,0.00243,0.83425,0.87432,0.88647,0.40617,1.8175,0.88977,0.00372,0.0010496,0.0010496,0.0010496
50,194.943,1.03006,0.55065,0.00248,0.85672,0.84949,0.91717,0.46737,1.6843,0.80172,0.00334,0.0010298,0.0010298,0.0010298
51,198.425,1.1122,0.54281,0.0025,0.838,0.8816,0.92683,0.42663,1.92758,0.77937,0.00384,0.00101,0.00101,0.00101
52,202.013,1.10126,0.56639,0.00264,0.79817,0.90346,0.92049,0.42967,1.86717,0.81365,0.00378,0.0009902,0.0009902,0.0009902
53,205.464,1.06239,0.57505,0.00263,0.8344,0.88525,0.92683,0.44292,1.81227,0.79031,0.00361,0.0009704,0.0009704,0.0009704
54,208.941,1.05797,0.55275,0.00258,0.84911,0.898,0.93613,0.46966,1.76151,0.79455,0.00356,0.0009506,0.0009506,0.0009506
55,212.412,1.05328,0.55212,0.00241,0.85135,0.86588,0.93108,0.45077,1.76307,0.8011,0.00334,0.0009308,0.0009308,0.0009308
56,215.886,1.03847,0.537,0.00242,0.88643,0.88145,0.94107,0.45209,1.81464,0.75602,0.00342,0.000911,0.000911,0.000911
57,219.357,1.05357,0.50863,0.00249,0.85653,0.86996,0.93263,0.48716,1.73037,0.73162,0.0034,0.0008912,0.0008912,0.0008912
58,222.812,0.95587,0.50817,0.00242,0.78741,0.89253,0.91223,0.49838,1.60051,0.7282,0.00316,0.0008714,0.0008714,0.0008714
59,226.329,1.01322,0.52608,0.0024,0.82452,0.88152,0.93781,0.42535,1.93213,0.75552,0.00386,0.0008516,0.0008516,0.0008516
60,229.813,1.07296,0.50913,0.00236,0.85638,0.87978,0.91994,0.365,2.11392,0.82589,0.00435,0.0008318,0.0008318,0.0008318
61,233.227,1.03717,0.51603,0.00246,0.85894,0.87614,0.90546,0.36795,2.06391,0.84583,0.00442,0.000812,0.000812,0.000812
62,236.718,1.06328,0.52769,0.00238,0.83841,0.9167,0.92415,0.44383,1.76041,0.76723,0.00361,0.0007922,0.0007922,0.0007922
63,240.218,0.99984,0.53732,0.00226,0.82105,0.91094,0.9337,0.48009,1.67983,0.72251,0.00315,0.0007724,0.0007724,0.0007724
64,243.693,1.02192,0.50363,0.00234,0.80813,0.89435,0.92087,0.44434,1.79949,0.80042,0.00357,0.0007526,0.0007526,0.0007526
65,247.101,1.00732,0.49829,0.00233,0.81413,0.90158,0.91931,0.43141,1.86747,0.80805,0.00355,0.0007328,0.0007328,0.0007328
66,250.586,0.97897,0.48899,0.00229,0.83451,0.91853,0.93272,0.44411,1.88266,0.79423,0.00366,0.000713,0.000713,0.000713
67,254.045,0.97741,0.47844,0.00227,0.86653,0.91257,0.9421,0.45341,1.83831,0.77938,0.00359,0.0006932,0.0006932,0.0006932
68,257.539,1.02764,0.46663,0.00209,0.87217,0.89479,0.93482,0.49785,1.62712,0.74341,0.00319,0.0006734,0.0006734,0.0006734
69,260.978,1.01013,0.49188,0.00227,0.86421,0.91621,0.93882,0.51704,1.56001,0.72146,0.00312,0.0006536,0.0006536,0.0006536
70,264.446,0.96426,0.48767,0.00226,0.89616,0.89982,0.94997,0.5296,1.55071,0.6966,0.0032,0.0006338,0.0006338,0.0006338
71,267.91,0.9927,0.50138,0.00229,0.8666,0.89982,0.94433,0.54048,1.50814,0.69984,0.00347,0.000614,0.000614,0.000614
72,271.409,0.9674,0.48175,0.00223,0.85932,0.91237,0.94507,0.49565,1.66401,0.7331,0.00369,0.0005942,0.0005942,0.0005942
73,274.863,0.94897,0.47328,0.00212,0.83719,0.91788,0.94152,0.46208,1.7812,0.75669,0.00382,0.0005744,0.0005744,0.0005744
74,278.335,0.98707,0.46511,0.00235,0.88336,0.898,0.94355,0.42578,1.91662,0.76734,0.00376,0.0005546,0.0005546,0.0005546
75,281.807,0.97205,0.46373,0.00235,0.87918,0.92778,0.95467,0.46039,1.79187,0.72541,0.00334,0.0005348,0.0005348,0.0005348
76,285.263,1.0004,0.48966,0.0023,0.87444,0.91985,0.95509,0.51745,1.57599,0.69263,0.00307,0.000515,0.000515,0.000515
77,288.7,1.0119,0.45933,0.00227,0.88107,0.91761,0.95247,0.5201,1.55413,0.71904,0.00305,0.0004952,0.0004952,0.0004952
78,292.148,0.94636,0.47317,0.00225,0.8807,0.91437,0.94948,0.49852,1.64335,0.76071,0.00338,0.0004754,0.0004754,0.0004754
79,295.646,0.99931,0.46075,0.00228,0.86514,0.91257,0.94224,0.50794,1.63919,0.73511,0.0036,0.0004556,0.0004556,0.0004556
80,299.112,0.96533,0.45211,0.00215,0.84592,0.91439,0.93965,0.51846,1.61223,0.71652,0.00325,0.0004358,0.0004358,0.0004358
81,302.532,0.97952,0.46145,0.00212,0.86059,0.91621,0.94111,0.51729,1.61985,0.71447,0.00311,0.000416,0.000416,0.000416
82,306.019,0.92518,0.4216,0.00209,0.86115,0.92896,0.94772,0.49188,1.69353,0.74457,0.00306,0.0003962,0.0003962,0.0003962
83,309.456,0.90815,0.45098,0.00233,0.88706,0.90528,0.95182,0.42405,1.94814,0.8142,0.00357,0.0003764,0.0003764,0.0003764
84,312.928,1.00139,0.46722,0.00217,0.88623,0.90806,0.95431,0.43326,1.90131,0.77927,0.0036,0.0003566,0.0003566,0.0003566
85,316.387,0.88472,0.42335,0.00207,0.89032,0.91673,0.95361,0.44802,1.85926,0.75499,0.0035,0.0003368,0.0003368,0.0003368
86,319.883,0.97318,0.43718,0.00199,0.89066,0.91439,0.95091,0.47962,1.75107,0.7088,0.00326,0.000317,0.000317,0.000317
87,323.39,0.89899,0.43389,0.00197,0.89106,0.90528,0.94996,0.52479,1.58854,0.69069,0.00306,0.0002972,0.0002972,0.0002972
88,326.894,0.96111,0.45918,0.00205,0.88331,0.92381,0.95279,0.53899,1.52576,0.68704,0.00302,0.0002774,0.0002774,0.0002774
89,330.311,0.93681,0.42457,0.00209,0.88605,0.92059,0.95512,0.54752,1.49521,0.6818,0.00298,0.0002576,0.0002576,0.0002576
90,333.806,0.94633,0.45108,0.00224,0.90052,0.898,0.9577,0.58273,1.38285,0.64972,0.00268,0.0002378,0.0002378,0.0002378
91,339.505,0.88235,0.38296,0.00251,0.85871,0.92994,0.95386,0.5937,1.34486,0.63899,0.00258,0.000218,0.000218,0.000218
92,343.361,0.90946,0.36733,0.0023,0.86107,0.92168,0.95052,0.59423,1.34784,0.63926,0.00265,0.0001982,0.0001982,0.0001982
93,346.723,0.8362,0.3737,0.00244,0.85072,0.92383,0.9473,0.58843,1.35053,0.64784,0.00269,0.0001784,0.0001784,0.0001784
94,350.127,0.83437,0.37262,0.00215,0.85074,0.91075,0.94533,0.57751,1.38836,0.65764,0.00273,0.0001586,0.0001586,0.0001586
95,353.476,0.83562,0.37021,0.00225,0.8521,0.91439,0.94513,0.57475,1.41264,0.6549,0.00276,0.0001388,0.0001388,0.0001388
96,356.832,0.87248,0.37219,0.00231,0.87013,0.89093,0.9445,0.57033,1.43573,0.65876,0.0028,0.000119,0.000119,0.000119
97,360.138,0.83797,0.37628,0.00224,0.86752,0.90654,0.94512,0.57024,1.43474,0.65644,0.0028,9.92e-05,9.92e-05,9.92e-05
98,363.479,0.84219,0.36759,0.00214,0.89925,0.87796,0.94642,0.56843,1.45408,0.65545,0.0028,7.94e-05,7.94e-05,7.94e-05
99,366.828,0.82198,0.38152,0.00224,0.89143,0.87614,0.94579,0.56256,1.47443,0.65144,0.00281,5.96e-05,5.96e-05,5.96e-05
100,370.179,0.86191,0.37224,0.0023,0.89565,0.8816,0.94656,0.5568,1.49829,0.65763,0.00284,3.98e-05,3.98e-05,3.98e-05
