epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4117,2.22102,5.21352,0.78503,3.06942,0.03116,24.3043,0.55126,0.56159,0.55272,0.17641,0.48542,0.49414,0.43847,0.12524,2.56807,4.24011,0.70454,1.84104,0.05899,0,0.000647619,0.000647619,0.000647619
2,39.3279,2.04944,3.34915,0.63369,1.44383,0.02799,13.0672,0.32119,0.32381,0.25673,0.06073,0.17508,0.2381,0.09205,0.02952,2.67241,4.10609,0.20102,3.16589,0.06019,0,0.00130127,0.00130127,0.00130127
3,55.387,2.16241,2.55849,0.51529,1.45576,0.03014,10.6674,0.12618,0.17143,0.06254,0.01369,0.12153,0.18095,0.0634,0.01753,2.69787,4.70881,0.05716,5.57951,0.05472,0,0.00194173,0.00194173,0.00194173
4,71.3619,2.1488,2.68222,0.52164,1.77138,0.02966,10.5531,0.04106,0.18023,0.01814,0.00458,0.15263,0.34286,0.08636,0.02872,3.10854,5.19704,0.13431,14.1811,0.09882,0,0.0019406,0.0019406,0.0019406
5,87.3591,2.10091,2.41249,0.50082,1.70126,0.02921,10.0781,0.08044,0.13333,0.02933,0.00689,0.23867,0.40952,0.20245,0.07921,3.38362,2.3902,0.22337,7.88867,0.06667,0,0.0019208,0.0019208,0.0019208
6,103.351,2.00258,1.8146,0.48497,1.43068,0.02678,8.78284,0.58222,0.68571,0.60551,0.16109,0.72139,0.65714,0.61887,0.24261,2.74703,2.76702,0.13197,1.27244,0.06321,0,0.001901,0.001901,0.001901
7,119.395,1.96789,1.72189,0.51423,1.30185,0.027,8.23911,0.76795,0.81948,0.83315,0.34456,0.86607,0.92383,0.96376,0.71418,1.93103,0.85866,0.14633,1.1957,0.04083,0,0.0018812,0.0018812,0.0018812
8,135.365,1.86039,1.53896,0.50669,1.14876,0.02545,7.63109,0.8216,0.84762,0.89659,0.39892,0.8216,0.84762,0.90161,0.62365,1.93059,1.07198,0.14105,0.95102,0.03782,0,0.0018614,0.0018614,0.0018614
9,151.387,1.84996,1.50995,0.49138,1.12945,0.02444,7.70872,0.73326,0.7619,0.8076,0.30034,0.85591,0.73543,0.8739,0.56762,2.13821,1.40765,0.14415,1.1923,0.05148,0,0.0018416,0.0018416,0.0018416
10,167.329,1.80732,1.43844,0.47729,1.11856,0.02318,7.03748,0.71808,0.90476,0.88213,0.43795,0.73024,0.92815,0.91271,0.7884,1.73301,0.49405,0.16657,0.71845,0.03284,0,0.0018218,0.0018218,0.0018218
11,183.362,1.85601,1.2644,0.47413,1.06556,0.02677,7.26389,0.86257,0.85714,0.94222,0.43623,0.87216,0.86667,0.95436,0.75583,1.93019,0.70789,0.14085,0.75376,0.04149,0,0.001802,0.001802,0.001802
12,199.282,1.61781,1.06833,0.44218,0.93832,0.02074,6.22435,0.78979,0.93038,0.92273,0.50315,0.78979,0.93038,0.92273,0.80387,1.52702,0.53682,0.14656,0.74626,0.0288,0,0.0017822,0.0017822,0.0017822
13,215.496,1.62132,1.00365,0.46059,0.87678,0.02099,5.90973,0.88898,0.87619,0.95108,0.51716,0.88898,0.87619,0.95108,0.80132,1.55534,0.62246,0.15515,0.6979,0.02883,0,0.0017624,0.0017624,0.0017624
14,232.049,1.57075,1.09173,0.46908,0.84305,0.02013,6.09317,0.82517,0.81905,0.91294,0.5077,0.82517,0.81905,0.9132,0.78133,1.47018,0.5781,0.14952,1.09445,0.0282,0,0.0017426,0.0017426,0.0017426
15,248.467,1.5554,0.97816,0.47811,0.89834,0.02109,6.21988,0.90934,0.95532,0.97686,0.61968,0.91841,0.96484,0.98532,0.89471,1.2995,0.40932,0.17905,0.49772,0.02346,0,0.0017228,0.0017228,0.0017228
16,264.861,1.47775,0.95676,0.44849,0.83154,0.01853,5.66834,0.92478,0.9367,0.97866,0.6178,0.92478,0.9367,0.97866,0.90154,1.40166,0.3731,0.18196,0.46,0.02777,0,0.001703,0.001703,0.001703
17,281.356,1.41887,0.86284,0.43337,0.80399,0.01772,5.39505,0.95081,0.97143,0.98795,0.58334,0.95081,0.97143,0.98795,0.89964,1.42174,0.4033,0.13609,0.59579,0.02779,0,0.0016832,0.0016832,0.0016832
18,297.895,1.41644,0.87139,0.4195,0.76689,0.01862,5.51382,0.89562,0.98064,0.97811,0.59743,0.89562,0.98064,0.97811,0.8607,1.396,0.50689,0.12942,0.49745,0.02719,0,0.0016634,0.0016634,0.0016634
19,314.477,1.47257,0.81661,0.41371,0.81862,0.01894,5.64174,0.98353,0.91429,0.98215,0.59965,0.98353,0.91429,0.98215,0.86069,1.33332,0.4281,0.17611,0.50906,0.02398,0,0.0016436,0.0016436,0.0016436
20,330.888,1.41993,0.74528,0.38597,0.76536,0.01792,5.20056,0.93986,0.89524,0.97098,0.58958,0.93986,0.89524,0.97098,0.88053,1.35919,0.38101,0.14394,0.68897,0.02368,0,0.0016238,0.0016238,0.0016238
21,347.371,1.45896,0.73236,0.41249,0.81489,0.01953,5.2882,0.89494,0.97358,0.9831,0.63934,0.89494,0.97358,0.9831,0.8899,1.25938,0.35777,0.15982,0.44936,0.02466,0,0.001604,0.001604,0.001604
22,363.811,1.40222,0.66394,0.37999,0.75562,0.01792,4.84583,0.91349,0.9619,0.98283,0.656,0.91349,0.9619,0.98283,0.92774,1.20346,0.32506,0.15264,0.45433,0.02255,0,0.0015842,0.0015842,0.0015842
23,380.355,1.36031,0.71993,0.3752,0.77491,0.01783,4.96058,0.94664,0.97143,0.99067,0.63668,0.94664,0.97143,0.99067,0.89871,1.28889,0.41558,0.1612,0.39026,0.02503,0,0.0015644,0.0015644,0.0015644
24,396.806,1.24599,0.60624,0.34352,0.69495,0.01628,4.89856,0.91681,0.9619,0.98408,0.67039,0.91681,0.9619,0.98408,0.91872,1.28338,0.34986,0.13303,0.41738,0.0246,0,0.0015446,0.0015446,0.0015446
25,413.424,1.29619,0.73702,0.34565,0.76104,0.01651,4.93911,0.93243,0.92003,0.97834,0.74018,0.93243,0.92003,0.97834,0.9405,1.0012,0.26817,0.12233,0.3944,0.0181,0,0.0015248,0.0015248,0.0015248
26,430.097,1.34971,0.67948,0.35532,0.76848,0.01852,5.16908,0.93623,0.97871,0.98924,0.67895,0.93623,0.97871,0.98924,0.92362,1.20693,0.30945,0.14351,0.38077,0.02186,0,0.001505,0.001505,0.001505
27,446.505,1.30853,0.63525,0.33167,0.699,0.01724,4.91356,0.9177,0.95581,0.97899,0.72742,0.9177,0.95581,0.97899,0.92565,0.98844,0.27841,0.14388,0.38232,0.01747,0,0.0014852,0.0014852,0.0014852
28,462.985,1.31832,0.67165,0.3122,0.73571,0.01681,4.95548,0.94427,0.97143,0.98789,0.62372,0.94427,0.97143,0.98789,0.92048,1.31367,0.33261,0.13287,0.41352,0.02255,0,0.0014654,0.0014654,0.0014654
29,479.602,1.30332,0.70203,0.31496,0.74015,0.01606,4.84361,0.95192,0.94286,0.98767,0.73305,0.95192,0.94286,0.98767,0.92849,0.9869,0.28986,0.09618,0.40782,0.01782,0,0.0014456,0.0014456,0.0014456
30,496.038,1.25025,0.66718,0.27745,0.68524,0.01508,4.53786,0.94117,0.98095,0.99109,0.73616,0.94117,0.98095,0.99109,0.95067,1.00035,0.26297,0.08547,0.32166,0.01825,0,0.0014258,0.0014258,0.0014258
31,512.692,1.25836,0.68067,0.29898,0.69817,0.01639,4.61996,0.91533,0.92669,0.97951,0.73319,0.91533,0.92669,0.97951,0.92297,0.96256,0.32968,0.09558,0.48172,0.0178,0,0.001406,0.001406,0.001406
32,529.156,1.23587,0.71163,0.29858,0.76373,0.01577,4.94628,0.89931,0.62857,0.73183,0.38332,0.92299,0.64762,0.79299,0.69783,1.97174,0.77381,0.36886,1.24397,0.03932,0,0.0013862,0.0013862,0.0013862
33,545.646,1.28739,0.59974,0.28914,0.74485,0.01678,4.66515,0.19051,0.09524,0.06979,0.02095,0.35818,0.18095,0.16516,0.1092,3.39821,2.92203,1.45487,2.83385,0.08058,0,0.0013664,0.0013664,0.0013664
34,562.167,1.21633,0.59484,0.27148,0.70509,0.01517,4.50718,0.92394,0.98095,0.9886,0.76737,0.92394,0.98095,0.9886,0.9448,0.88281,0.25727,0.12033,0.31449,0.01575,0,0.0013466,0.0013466,0.0013466
35,578.659,1.1952,0.5633,0.26245,0.69519,0.01442,4.25506,0.94434,0.98095,0.98978,0.73561,0.94434,0.98095,0.98978,0.958,0.98338,0.22385,0.09851,0.33037,0.01785,0,0.0013268,0.0013268,0.0013268
36,595.091,1.15208,0.56534,0.26295,0.65924,0.01466,4.23863,0.96226,0.9713,0.99117,0.74341,0.96226,0.9713,0.99117,0.95831,1.03166,0.23209,0.09866,0.33117,0.02003,0,0.001307,0.001307,0.001307
37,611.503,1.10131,0.52128,0.25889,0.64791,0.01417,3.99306,0.94507,0.98321,0.99264,0.76726,0.94507,0.98321,0.99264,0.95739,0.96129,0.24482,0.11377,0.32054,0.01834,0,0.0012872,0.0012872,0.0012872
38,628.055,1.11238,0.45927,0.24845,0.65904,0.01403,3.9931,0.98359,0.97143,0.99246,0.76496,0.98359,0.97143,0.99246,0.96262,0.93525,0.20308,0.0879,0.35662,0.01693,0,0.0012674,0.0012674,0.0012674
39,644.57,1.09251,0.44862,0.24813,0.62491,0.01388,3.96764,0.97812,0.98095,0.9931,0.77851,0.97812,0.98095,0.9931,0.95761,0.88407,0.22498,0.08518,0.26909,0.01755,0,0.0012476,0.0012476,0.0012476
40,661.154,1.07988,0.45719,0.24072,0.62402,0.01338,3.80721,0.92874,0.99301,0.98366,0.75135,0.92874,0.99301,0.98366,0.94947,0.94406,0.22055,0.08026,0.33542,0.01797,0,0.0012278,0.0012278,0.0012278
41,677.734,1.05363,0.47788,0.22955,0.56709,0.01365,4.07717,0.96751,0.9619,0.98936,0.81611,0.96751,0.9619,0.98936,0.96715,0.77158,0.17089,0.08399,0.31147,0.01402,0,0.001208,0.001208,0.001208
42,694.325,1.01438,0.47321,0.2312,0.57391,0.01244,3.50702,0.98086,0.9763,0.99415,0.79545,0.98086,0.9763,0.99415,0.9754,0.86382,0.16665,0.08507,0.24724,0.01471,0,0.0011882,0.0011882,0.0011882
43,710.851,1.10649,0.45352,0.22685,0.60719,0.0131,3.48652,0.97803,0.98095,0.99049,0.7919,0.97803,0.98095,0.99049,0.97245,0.8605,0.17905,0.08589,0.28023,0.01459,0,0.0011684,0.0011684,0.0011684
44,727.359,1.05791,0.39532,0.22755,0.57878,0.01333,3.45451,0.97021,0.99048,0.99309,0.78756,0.97021,0.99048,0.99309,0.96259,0.83911,0.20666,0.07518,0.26921,0.01498,0,0.0011486,0.0011486,0.0011486
45,744.015,0.99869,0.38471,0.22789,0.59461,0.01184,3.40877,0.98052,0.95863,0.99071,0.84456,0.98052,0.95863,0.99071,0.96975,0.71803,0.16903,0.0733,0.25884,0.01201,0,0.0011288,0.0011288,0.0011288
46,760.571,1.00813,0.38479,0.22367,0.58507,0.01213,3.21141,0.99192,0.95238,0.99343,0.83993,0.99192,0.95238,0.99343,0.97411,0.71814,0.15932,0.06977,0.23553,0.01305,0,0.001109,0.001109,0.001109
47,776.958,1.05088,0.51815,0.21232,0.58315,0.01283,3.56301,0.953,1,0.99221,0.8259,0.953,1,0.99221,0.97543,0.76833,0.17201,0.08959,0.24534,0.01378,0,0.0010892,0.0010892,0.0010892
48,793.467,1.01431,0.33621,0.20476,0.54755,0.01217,3.01548,0.96295,0.98998,0.99329,0.81997,0.96295,0.98998,0.99329,0.97866,0.76593,0.15325,0.09733,0.24012,0.01284,0,0.0010694,0.0010694,0.0010694
49,810.06,0.97288,0.35347,0.2067,0.51741,0.01159,2.97915,0.96003,0.99048,0.99261,0.83142,0.96003,0.99048,0.99261,0.97214,0.74392,0.1442,0.06877,0.23436,0.0129,0,0.0010496,0.0010496,0.0010496
50,826.481,1.00121,0.36276,0.2029,0.52308,0.01225,3.32662,0.99047,0.98933,0.99471,0.84589,0.99047,0.98933,0.99471,0.97329,0.69207,0.15712,0.0659,0.21189,0.01299,0,0.0010298,0.0010298,0.0010298
51,843.028,0.96433,0.40518,0.20597,0.54892,0.0116,3.13873,1,0.97056,0.99453,0.82328,1,0.97056,0.99453,0.9751,0.74533,0.17708,0.06728,0.21803,0.01327,0,0.00101,0.00101,0.00101
52,859.589,0.99337,0.34342,0.21195,0.5406,0.01135,2.87428,0.97161,0.97792,0.99212,0.83904,0.97161,0.97792,0.99212,0.97049,0.67003,0.14914,0.07576,0.28142,0.0111,0,0.0009902,0.0009902,0.0009902
53,876.025,0.96463,0.36859,0.19254,0.52945,0.01143,2.9654,0.96908,1,0.99199,0.81595,0.96908,1,0.99199,0.97219,0.72677,0.14887,0.07618,0.24246,0.01216,0,0.0009704,0.0009704,0.0009704
54,892.551,0.95641,0.35432,0.21269,0.51292,0.01172,3.04618,1,0.9647,0.99444,0.84176,1,0.9647,0.99444,0.97587,0.69375,0.1564,0.07978,0.22401,0.01178,0,0.0009506,0.0009506,0.0009506
55,909.018,0.96848,0.36999,0.20233,0.58647,0.01206,3.00702,0.95939,0.99048,0.99339,0.84411,0.95939,0.99048,0.99339,0.98133,0.65275,0.15287,0.07321,0.22631,0.01066,0,0.0009308,0.0009308,0.0009308
56,925.639,0.92494,0.34779,0.20155,0.54429,0.01103,3.06775,0.97803,0.9619,0.99142,0.8275,0.97803,0.9619,0.99142,0.97496,0.74524,0.15732,0.07441,0.25614,0.01123,0,0.000911,0.000911,0.000911
57,942.086,0.90689,0.35305,0.1891,0.51783,0.01052,2.69238,0.98036,0.99048,0.99472,0.86028,0.98036,0.99048,0.99472,0.98242,0.6163,0.14286,0.07679,0.20384,0.0104,0,0.0008912,0.0008912,0.0008912
58,958.586,0.88254,0.31621,0.19094,0.494,0.01018,2.62712,0.98035,0.97143,0.99373,0.82993,0.98035,0.97143,0.99373,0.98083,0.70828,0.14597,0.07977,0.23408,0.0127,0,0.0008714,0.0008714,0.0008714
59,975.053,0.90047,0.32138,0.20238,0.51853,0.0111,2.76229,0.98065,0.96539,0.9936,0.83918,0.98065,0.96539,0.9936,0.97922,0.67565,0.13535,0.06955,0.24393,0.01259,0,0.0008516,0.0008516,0.0008516
60,991.55,0.88514,0.30225,0.1872,0.55316,0.0108,2.71616,0.99042,0.98095,0.99481,0.85083,0.99042,0.98095,0.99481,0.98236,0.61557,0.13144,0.06882,0.19199,0.01087,0,0.0008318,0.0008318,0.0008318
61,1008.12,0.86651,0.32823,0.20585,0.50864,0.0105,2.72534,0.96299,0.99121,0.99321,0.87072,0.96299,0.99121,0.99321,0.98117,0.58561,0.13238,0.06523,0.19549,0.01002,0,0.000812,0.000812,0.000812
62,1024.62,0.84687,0.30497,0.18745,0.4996,0.01019,2.70897,1,0.98499,0.995,0.87037,1,0.98499,0.995,0.98121,0.61933,0.13163,0.06814,0.19727,0.01025,0,0.0007922,0.0007922,0.0007922
63,1041.17,0.88675,0.2935,0.19329,0.52297,0.01069,2.62107,0.99045,0.98806,0.9949,0.87473,0.99045,0.98806,0.9949,0.98322,0.57962,0.1286,0.0826,0.1991,0.00949,0,0.0007724,0.0007724,0.0007724
64,1057.72,0.83603,0.26328,0.17832,0.52576,0.01013,2.41688,0.99657,1,0.995,0.86369,0.99657,1,0.995,0.97985,0.62501,0.13039,0.07955,0.23808,0.01028,0,0.0007526,0.0007526,0.0007526
65,1074.17,0.84634,0.30024,0.19536,0.48294,0.01002,2.68102,0.98966,1,0.995,0.86107,0.98966,1,0.995,0.98538,0.64558,0.12654,0.06862,0.18964,0.01065,0,0.0007328,0.0007328,0.0007328
66,1090.66,0.83744,0.32972,0.19407,0.51833,0.00986,2.42225,0.98921,0.99048,0.99376,0.8815,0.98921,0.99048,0.99376,0.97476,0.55163,0.13986,0.06294,0.19671,0.0095,0,0.000713,0.000713,0.000713
67,1107.15,0.82734,0.31312,0.18789,0.46765,0.00986,2.68159,0.99851,0.99048,0.995,0.8752,0.99851,0.99048,0.995,0.98002,0.60211,0.1411,0.06285,0.17019,0.00995,0,0.0006932,0.0006932,0.0006932
68,1123.53,0.8496,0.2883,0.20561,0.51155,0.01039,2.40905,0.99921,1,0.995,0.87731,0.99921,1,0.995,0.98512,0.55508,0.1189,0.06703,0.1536,0.00961,0,0.0006734,0.0006734,0.0006734
69,1140.02,0.82981,0.27381,0.18656,0.49549,0.01031,2.3155,0.98514,0.97143,0.99409,0.86772,0.98514,0.97143,0.99409,0.98298,0.61894,0.13415,0.07316,0.20971,0.0105,0,0.0006536,0.0006536,0.0006536
70,1156.59,0.83311,0.31738,0.19397,0.48451,0.01014,2.50338,0.9898,0.99048,0.99481,0.8692,0.9898,0.99048,0.99481,0.9799,0.60094,0.13513,0.0724,0.18095,0.01053,0,0.0006338,0.0006338,0.0006338
71,1173.06,0.82574,0.26663,0.1999,0.48645,0.00978,2.24751,0.99046,0.98917,0.9949,0.8799,0.99046,0.98917,0.9949,0.98218,0.54634,0.12931,0.06957,0.17914,0.00913,0,0.000614,0.000614,0.000614
72,1189.54,0.78662,0.22145,0.19687,0.4396,0.00888,1.99942,0.9599,0.99048,0.9934,0.8866,0.9599,0.99048,0.9934,0.97915,0.5446,0.12198,0.06986,0.2157,0.00924,0,0.0005942,0.0005942,0.0005942
