epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6744,2.36838,6.37092,0.6999,4.90904,0.02954,24.8432,0,0,0,0,0,0,0,0,2.64415,6.36015,0.66899,6.81931,0.04813,0,4e-05,4e-05,4e-05
2,20.3346,2.26568,6.32613,0.70102,4.75899,0.03043,25.0947,0,0,0,0,0,0,0,0,2.68124,6.34646,0.67008,6.81853,0.04687,0,9.901e-05,9.901e-05,9.901e-05
3,21.0574,2.3224,6.22287,0.69773,4.62568,0.02936,24.6853,0.00279,0.05556,0.00157,0.00031,0,0,0,0,2.56508,6.32634,0.67095,6.16764,0.04644,0,0.000156832,0.000156832,0.000156832
4,21.8518,2.15321,6.06366,0.70019,3.3999,0.02764,22.4896,0.39641,0.29268,0.22418,0.08713,0.00483,0.05556,0.00261,0.00261,2.3643,6.48736,0.69273,2.40466,0.03809,0,0.000213466,0.000213466,0.000213466
5,22.6847,1.8013,5.53451,0.69935,1.91375,0.02207,19.7406,0.87463,0.77532,0.83013,0.37117,0.00422,0.05556,0.00261,0.0026,1.73759,6.20117,0.69013,1.31788,0.02567,0,0.000268912,0.000268912,0.000268912
6,23.6454,1.47698,5.76602,0.69397,1.41798,0.0173,17.7536,0.81021,0.88889,0.94278,0.48952,0.00806,0.11111,0.00462,0.0024,1.75309,6.20831,0.68616,0.71256,0.02906,0,0.00032317,0.00032317,0.00032317
7,24.4452,1.40539,5.35627,0.70299,1.31255,0.01537,15.6997,0.93233,0.88889,0.96906,0.55427,0.00413,0.05556,0.00241,0.00238,1.55835,6.24454,0.68146,0.55519,0.02187,0,0.00037624,0.00037624,0.00037624
8,25.2415,1.32319,5.09723,0.7402,1.09375,0.01511,14.5689,0.89056,0.94444,0.97665,0.6297,0.23905,0.11111,0.07916,0.01247,1.27441,5.72197,0.68469,0.47813,0.01808,0,0.000428122,0.000428122,0.000428122
9,26.0272,1.26289,4.23182,0.77329,0.82772,0.0131,12.196,0.94058,1,0.98921,0.66386,0.29078,0.22222,0.08477,0.01719,1.25386,5.40425,0.68529,0.50574,0.01702,0,0.000478816,0.000478816,0.000478816
10,26.8259,1.29112,4.54106,0.78133,0.99412,0.01335,12.5437,1,0.98396,0.995,0.53544,0.32722,0.33333,0.15634,0.04352,1.62638,4.87458,0.69138,0.54718,0.02433,0,0.000528322,0.000528322,0.000528322
