epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6201,3.56038,4.94086,0.70973,6.11321,0.06365,38.6873,0.19957,0.1791,0.11904,0.0279,0.00588,0.0597,0.00332,0.00033,3.90554,6.48813,0.72138,2.32257,0.09725,0,0.00032,0.00032,0.00032
2,38.0562,2.45653,4.69837,0.77894,2.55117,0.04465,30.3787,0.11844,0.20896,0.07151,0.01412,0.04528,0.02985,0.01329,0.00155,3.35429,6.56617,0.75281,2.08537,0.0812,0,0.000653466,0.000653466,0.000653466
3,46.58,2.49709,4.58808,0.79449,2.49149,0.04431,26.2398,0.15346,0.12179,0.04245,0.01142,0.0054,0.07463,0.00301,0.00036,3.60644,7.16169,0.71317,3.77066,0.09212,0,0.0009802,0.0009802,0.0009802
4,55.1331,2.44407,4.53966,0.72489,2.35689,0.04391,22.9456,0.00181,0.01493,0.0027,0.00045,0.00029,0.01493,0.00016,2e-05,nan,nan,nan,nan,nan,0,0.0013002,0.0013002,0.0013002
5,63.5246,2.48395,4.36381,0.69073,2.41581,0.0438,20.9967,0.01338,0.02985,0.00117,0.00016,0.0008,0.01493,0.00017,2e-05,nan,nan,nan,nan,nan,0,0.00161347,0.00161347,0.00161347
6,71.9336,2.54796,4.05468,0.67161,2.53273,0.04621,19.8581,0.06061,0.02985,0.00544,0.00111,0.00361,0.01493,0.00059,0.00011,nan,nan,nan,nan,nan,0,0.001901,0.001901,0.001901
7,80.3589,2.48175,4.02412,0.64562,2.37033,0.04412,18.699,0.01382,0.01493,0.00211,0.00058,0.0008,0.0597,0.00045,4e-05,3.30663,8.36658,0.92641,25.4437,0.10981,0,0.0018812,0.0018812,0.0018812
8,88.7858,2.35082,3.53353,0.57986,2.28874,0.04201,17.5704,0.00058,0.16418,0.00035,6e-05,0.01717,0.07463,0.00487,0.001,4.10685,7.09408,0.53607,21.1898,0.12402,0,0.0018614,0.0018614,0.0018614
9,97.1974,2.24994,3.04406,0.53597,2.26077,0.03854,15.4757,0.12561,0.40299,0.07112,0.01433,0.18896,0.35821,0.13708,0.0403,3.57503,5.36128,0.16915,7.84719,0.08129,0,0.0018416,0.0018416,0.0018416
10,105.629,2.37415,2.6538,0.57213,2.17127,0.04188,14.7129,0.00215,0.40299,0.00172,0.00043,0.13936,0.02985,0.01627,0.00536,3.22977,5.35491,0.42073,7.90905,0.07564,0,0.0018218,0.0018218,0.0018218
11,114.072,2.27906,2.66143,0.57067,2.20687,0.04037,14.5798,0.12488,0.45368,0.12945,0.03969,0.25658,0.48426,0.21398,0.07397,2.8692,3.70426,0.20387,3.11373,0.06518,0,0.001802,0.001802,0.001802
12,122.455,2.24337,2.62607,0.58434,2.23869,0.03897,14.1994,0.1877,0.1194,0.05792,0.01479,0.30821,0.35821,0.23354,0.12412,3.04903,3.03046,0.28133,4.60406,0.06226,0,0.0017822,0.0017822,0.0017822
13,130.775,2.14442,2.43244,0.5734,2.08356,0.03542,13.2844,0.02691,0.06855,0.01705,0.00307,0.34397,0.26866,0.26663,0.06864,3.27951,4.77705,0.27913,5.52954,0.07287,0,0.0017624,0.0017624,0.0017624
14,139.066,2.13027,1.98262,0.53017,2.10779,0.03621,12.3316,0.2001,0.44776,0.18366,0.0453,0.30094,0.49254,0.31778,0.17221,2.0904,2.25305,0.21792,3.2425,0.03917,0,0.0017426,0.0017426,0.0017426
15,147.579,2.14654,2.09844,0.56487,2.13904,0.03844,12.6281,0.09944,0.26371,0.06397,0.01597,0.41395,0.50606,0.35623,0.22397,2.52161,2.66086,0.21014,3.1138,0.05048,0,0.0017228,0.0017228,0.0017228
16,156.043,2.08368,2.09013,0.54128,2.12167,0.03452,12.3523,0.20055,0.22388,0.1842,0.04656,0.31206,0.32502,0.2819,0.13637,2.27112,3.65929,0.38893,3.00563,0.04649,0,0.001703,0.001703,0.001703
